age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
25,2,226802,7,4,6,3,2,1,0,0,40,39
38,2,89814,9,2,4,0,4,1,0,0,50,39
28,1,336951,12,2,10,0,4,1,0,0,40,39
44,2,160323,10,2,6,0,2,1,7688,0,40,39
18,6,103497,10,4,14,3,4,0,0,0,30,39
34,2,198693,6,4,7,1,4,1,0,0,30,39
29,6,227026,9,4,14,4,2,1,0,0,40,39
63,4,104626,15,2,9,0,4,1,3103,0,32,39
24,2,369667,10,4,7,4,4,0,0,0,40,39
65,2,184454,9,2,6,0,4,1,6418,0,40,39
36,0,212465,13,2,0,0,4,1,0,0,40,39
26,2,82091,9,4,0,1,4,0,0,0,39,39
58,6,299831,9,2,14,0,4,1,0,0,35,39
48,2,279724,9,2,6,0,4,1,3103,0,48,39
43,2,346189,14,2,3,0,4,1,0,0,50,39
20,5,444554,10,4,7,3,4,1,0,0,25,39
43,2,128354,9,2,0,5,4,0,0,0,30,39
37,2,60548,9,6,6,4,4,0,0,0,20,39
40,2,85019,16,2,9,0,1,1,0,0,45,0
34,2,107914,13,2,12,0,4,1,0,0,47,39
34,2,238588,10,4,7,3,2,0,0,0,35,39
25,2,220931,13,4,9,1,4,1,0,0,43,29
25,2,205947,13,2,9,0,4,1,0,0,40,39
45,4,432824,9,2,2,0,4,1,7298,0,90,39
22,2,236427,9,4,0,3,4,1,0,0,20,39
23,2,134446,9,5,6,4,2,1,0,0,54,39
54,2,99516,9,2,2,0,4,1,0,0,35,39
32,4,109282,10,4,9,1,4,1,0,0,60,39
46,5,106444,10,2,3,0,2,1,7688,0,38,39
56,4,186651,7,6,7,4,4,0,0,0,50,39
24,4,188274,13,4,11,1,4,1,0,0,50,39
23,1,258120,10,2,10,0,4,1,0,0,40,39
26,2,43311,9,0,3,4,4,0,0,0,40,39
65,6,191846,9,2,14,0,4,1,0,0,40,39
36,1,403681,13,2,9,0,4,1,0,0,40,39
